prompt_id,output_prose_tokens,output_code_tokens
demo-000-450c5bbc:p001,1585,1015
demo-000-450c5bbc:p002,1373,895
demo-000-450c5bbc:p003,1086,1199
demo-000-450c5bbc:p004,879,2052
demo-000-450c5bbc:p005,2797,882
demo-000-450c5bbc:p006,958,451
demo-000-450c5bbc:p007,2534,708
demo-000-450c5bbc:p008,4002,3959
demo-000-450c5bbc:p009,4677,1381
demo-000-450c5bbc:p010,213,916
demo-000-450c5bbc:p011,2746,1214
demo-000-450c5bbc:p012,197,593
demo-000-450c5bbc:p013,2733,457
demo-000-450c5bbc:p014,5882,1559
demo-000-450c5bbc:p015,3484,1165
demo-000-450c5bbc:p016,3156,2598
demo-000-450c5bbc:p017,3043,189
demo-000-450c5bbc:p018,1512,1371
demo-000-450c5bbc:p019,4144,1505
demo-000-450c5bbc:p020,2147,708
demo-000-450c5bbc:p021,1377,208
demo-000-450c5bbc:p022,4301,3783
demo-000-450c5bbc:p023,668,1069
demo-000-450c5bbc:p024,4920,1904
demo-000-450c5bbc:p025,1687,534
demo-000-450c5bbc:p026,1537,2040
demo-000-450c5bbc:p027,4217,1484
demo-000-450c5bbc:p028,935,538
demo-000-450c5bbc:p029,369,856
demo-000-450c5bbc:p030,689,92
demo-000-450c5bbc:p031,2568,763
demo-000-450c5bbc:p032,1292,1942
demo-000-450c5bbc:p033,2872,1318
demo-000-450c5bbc:p034,4120,806
demo-000-450c5bbc:p035,1406,2354
demo-000-450c5bbc:p036,3718,1397
demo-001-638b2bb1:p001,773,1392
demo-001-638b2bb1:p002,580,101
demo-001-638b2bb1:p003,1493,1729
demo-001-638b2bb1:p004,760,1602
demo-001-638b2bb1:p005,953,2192
demo-002-8356f0d0:p001,1246,956
demo-002-8356f0d0:p002,2403,1694
demo-002-8356f0d0:p003,1957,3301
demo-002-8356f0d0:p004,849,1639
demo-002-8356f0d0:p005,1147,4039
demo-002-8356f0d0:p006,1400,3509
demo-002-8356f0d0:p007,760,1454
demo-002-8356f0d0:p008,1885,920
demo-002-8356f0d0:p009,3257,691
demo-002-8356f0d0:p010,2108,1732
demo-002-8356f0d0:p011,550,1884
demo-002-8356f0d0:p012,4408,1370
demo-002-8356f0d0:p013,2501,802
demo-003-47ba47d3:p001,2843,1306
demo-003-47ba47d3:p002,716,1590
demo-003-47ba47d3:p003,1281,2634
demo-003-47ba47d3:p004,82,374
demo-003-47ba47d3:p005,1871,542
demo-003-47ba47d3:p006,561,1945
demo-003-47ba47d3:p007,1166,132
demo-003-47ba47d3:p008,946,428
demo-003-47ba47d3:p009,976,3529
demo-003-47ba47d3:p010,2347,2196
demo-004-1e214b52:p001,566,2240
demo-004-1e214b52:p002,178,809
demo-004-1e214b52:p003,1812,523
demo-004-1e214b52:p004,1501,2061
demo-004-1e214b52:p005,1659,3023
demo-004-1e214b52:p006,489,1137
demo-004-1e214b52:p007,4424,250
demo-004-1e214b52:p008,2327,6304
demo-004-1e214b52:p009,915,261
demo-004-1e214b52:p010,1133,3913
demo-004-1e214b52:p011,2760,2004
demo-004-1e214b52:p012,3677,2236
demo-004-1e214b52:p013,3589,6625
demo-004-1e214b52:p014,1245,183
demo-004-1e214b52:p015,858,234
demo-004-1e214b52:p016,1950,2490
demo-004-1e214b52:p017,797,1008
demo-005-5ae14d75:p001,1353,391
demo-005-5ae14d75:p002,467,334
demo-005-5ae14d75:p003,930,704
demo-005-5ae14d75:p004,722,856
demo-005-5ae14d75:p005,2225,407
demo-005-5ae14d75:p006,2066,1863
demo-006-1fb999e6:p001,2408,602
demo-006-1fb999e6:p002,4627,2895
demo-006-1fb999e6:p003,3099,857
demo-006-1fb999e6:p004,2481,1195
demo-006-1fb999e6:p005,2099,534
demo-006-1fb999e6:p006,2107,5089
demo-006-1fb999e6:p007,1897,916
demo-006-1fb999e6:p008,562,1548
demo-006-1fb999e6:p009,831,2721
demo-006-1fb999e6:p010,3287,3424
demo-007-0b96130a:p001,3563,3148
demo-007-0b96130a:p002,4000,946
demo-007-0b96130a:p003,688,3327
demo-007-0b96130a:p004,4660,2180
demo-008-493d65aa:p001,2611,3514
demo-008-493d65aa:p002,956,681
demo-008-493d65aa:p003,2014,161
demo-008-493d65aa:p004,210,1149
demo-008-493d65aa:p005,2744,314
demo-008-493d65aa:p006,1474,1305
demo-008-493d65aa:p007,179,372
demo-008-493d65aa:p008,1650,5161
demo-008-493d65aa:p009,361,47
demo-009-89415ed4:p001,312,331
demo-009-89415ed4:p002,466,870
demo-009-89415ed4:p003,3223,831
demo-009-89415ed4:p004,1598,510
demo-009-89415ed4:p005,1885,372
demo-009-89415ed4:p006,614,1578
demo-009-89415ed4:p007,2383,2736
demo-009-89415ed4:p008,388,102
demo-010-a9987b64:p001,1726,2942
demo-010-a9987b64:p002,3423,1020
demo-010-a9987b64:p003,848,128
demo-010-a9987b64:p004,1439,454
demo-010-a9987b64:p005,1066,171
demo-010-a9987b64:p006,1354,1385
demo-010-a9987b64:p007,172,279
demo-010-a9987b64:p008,251,980
demo-010-a9987b64:p009,651,2715
demo-010-a9987b64:p010,4586,2438
demo-011-c50e7639:p001,2950,1086
demo-011-c50e7639:p002,2265,1509
demo-011-c50e7639:p003,2398,234
demo-011-c50e7639:p004,3016,1280
demo-011-c50e7639:p005,796,190
demo-012-2960a43d:p001,1406,2363
demo-012-2960a43d:p002,4916,1506
demo-012-2960a43d:p003,411,202
demo-012-2960a43d:p004,6033,2623
demo-012-2960a43d:p005,1781,896
demo-012-2960a43d:p006,1575,86
demo-012-2960a43d:p007,752,150
demo-012-2960a43d:p008,2664,3489
demo-012-2960a43d:p009,2220,3709
demo-012-2960a43d:p010,1471,2054
demo-012-2960a43d:p011,5485,1259
demo-012-2960a43d:p012,771,393
demo-012-2960a43d:p013,6356,1311
demo-012-2960a43d:p014,1415,171
demo-012-2960a43d:p015,620,1171
demo-012-2960a43d:p016,577,1789
demo-013-b9eb2f85:p001,3125,4212
demo-013-b9eb2f85:p002,2329,1143
demo-013-b9eb2f85:p003,7950,1711
demo-013-b9eb2f85:p004,1549,4956
demo-013-b9eb2f85:p005,1843,1899
demo-013-b9eb2f85:p006,2954,5616
demo-013-b9eb2f85:p007,1774,618
demo-013-b9eb2f85:p008,464,386
demo-013-b9eb2f85:p009,3157,275
demo-013-b9eb2f85:p010,1275,554
demo-013-b9eb2f85:p011,949,212
demo-013-b9eb2f85:p012,2538,1104
demo-013-b9eb2f85:p013,238,123
demo-014-dfa0e9f1:p001,830,4086
demo-014-dfa0e9f1:p002,1275,126
demo-014-dfa0e9f1:p003,3153,1168
demo-014-dfa0e9f1:p004,1219,2907
demo-014-dfa0e9f1:p005,2276,1562
demo-014-dfa0e9f1:p006,809,85
demo-014-dfa0e9f1:p007,2232,1724
demo-014-dfa0e9f1:p008,5148,970
demo-014-dfa0e9f1:p009,356,732
demo-014-dfa0e9f1:p010,2006,1841
demo-014-dfa0e9f1:p011,5446,4458
demo-014-dfa0e9f1:p012,1099,1000
demo-015-8fc82e35:p001,421,772
demo-015-8fc82e35:p002,456,189
demo-015-8fc82e35:p003,1035,206
demo-015-8fc82e35:p004,1031,491
demo-015-8fc82e35:p005,3342,5277
demo-015-8fc82e35:p006,1367,262
demo-015-8fc82e35:p007,702,154
demo-015-8fc82e35:p008,808,173
demo-015-8fc82e35:p009,2408,315
demo-015-8fc82e35:p010,1705,3936
demo-016-f10087cf:p001,1026,1252
demo-016-f10087cf:p002,1260,296
demo-016-f10087cf:p003,1740,1598
demo-016-f10087cf:p004,2906,2329
demo-016-f10087cf:p005,2716,6424
demo-016-f10087cf:p006,4881,2479
demo-016-f10087cf:p007,2563,482
demo-016-f10087cf:p008,533,289
demo-017-4f15148f:p001,4547,804
demo-017-4f15148f:p002,1543,128
demo-017-4f15148f:p003,301,801
demo-017-4f15148f:p004,1748,414
demo-017-4f15148f:p005,2111,294
demo-017-4f15148f:p006,838,488
demo-018-48b2c8a5:p001,2530,2068
demo-018-48b2c8a5:p002,1677,4281
demo-018-48b2c8a5:p003,1062,1391
