session_id,start_date,project,cwd,git_branch
demo-000-450c5bbc,2026-06-09,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-001-638b2bb1,2026-05-30,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-002-8356f0d0,2026-06-04,ml-experiments,/home/dev/projects/ml-experiments,main
demo-003-47ba47d3,2026-05-10,infra-terraform,/home/dev/projects/infra-terraform,main
demo-004-1e214b52,2026-05-13,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-005-5ae14d75,2026-04-16,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-006-1fb999e6,2026-04-22,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-007-0b96130a,2026-01-30,ml-experiments,/home/dev/projects/ml-experiments,main
demo-008-493d65aa,2026-05-22,infra-terraform,/home/dev/projects/infra-terraform,main
demo-009-89415ed4,2026-02-28,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-010-a9987b64,2026-03-13,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-011-c50e7639,2026-05-24,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-012-2960a43d,2026-06-09,ml-experiments,/home/dev/projects/ml-experiments,main
demo-013-b9eb2f85,2026-05-30,infra-terraform,/home/dev/projects/infra-terraform,main
demo-014-dfa0e9f1,2026-04-03,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-015-8fc82e35,2026-03-14,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-016-f10087cf,2026-03-05,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-017-4f15148f,2026-05-27,ml-experiments,/home/dev/projects/ml-experiments,main
demo-018-48b2c8a5,2025-12-25,infra-terraform,/home/dev/projects/infra-terraform,main
demo-019-158f03c8,2026-04-30,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-020-0164b3ae,2026-01-19,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-021-7ab39286,2026-06-08,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-022-abccfffd,2026-05-30,ml-experiments,/home/dev/projects/ml-experiments,main
demo-023-042116e8,2026-06-03,infra-terraform,/home/dev/projects/infra-terraform,main
demo-024-171600f1,2026-02-16,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-025-3ab52417,2026-05-07,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-026-34fd07a5,2026-01-28,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-027-446dc987,2026-03-15,ml-experiments,/home/dev/projects/ml-experiments,main
demo-028-8b7d57ec,2026-04-21,infra-terraform,/home/dev/projects/infra-terraform,main
demo-029-150b4a07,2026-02-14,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-030-bf94b5aa,2026-01-31,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-031-be91e92f,2026-02-05,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-032-6adee58a,2026-05-01,ml-experiments,/home/dev/projects/ml-experiments,main
demo-033-f8aea77f,2026-04-30,infra-terraform,/home/dev/projects/infra-terraform,main
demo-034-dc2d0ff1,2025-12-20,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-035-e71503f7,2026-01-22,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-036-6d823204,2026-03-27,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-037-5fd147f9,2026-04-21,ml-experiments,/home/dev/projects/ml-experiments,main
demo-038-838e1ee4,2026-03-04,infra-terraform,/home/dev/projects/infra-terraform,main
demo-039-9a1c44b7,2026-02-15,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-040-a17d2749,2026-01-11,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-041-5404f6ff,2026-04-29,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-042-854ce295,2026-01-03,ml-experiments,/home/dev/projects/ml-experiments,main
demo-043-0defbc1a,2026-04-01,infra-terraform,/home/dev/projects/infra-terraform,main
demo-044-fcca5162,2026-01-21,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-045-66a1a317,2026-04-12,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-046-6994d0af,2026-04-30,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-047-384829d9,2026-04-30,ml-experiments,/home/dev/projects/ml-experiments,main
demo-048-b3e19be6,2026-05-18,infra-terraform,/home/dev/projects/infra-terraform,main
demo-049-b2e88d4b,2026-01-21,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-050-58ef0b37,2026-02-17,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-051-ecba3aff,2026-01-05,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-052-3ae50165,2026-05-07,ml-experiments,/home/dev/projects/ml-experiments,main
demo-053-1e662cf7,2026-05-28,infra-terraform,/home/dev/projects/infra-terraform,main
demo-054-64f3d835,2026-04-07,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-055-7446d42d,2026-05-08,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-056-50481bee,2026-04-25,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-057-cba49dce,2026-01-05,ml-experiments,/home/dev/projects/ml-experiments,main
demo-058-72dc9829,2026-05-02,infra-terraform,/home/dev/projects/infra-terraform,main
demo-059-6ef2d936,2026-03-19,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-060-13bc9eb3,2026-04-18,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-061-0677b40c,2025-12-17,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-062-1a26be3b,2026-04-25,ml-experiments,/home/dev/projects/ml-experiments,main
demo-063-2a07a210,2026-05-22,infra-terraform,/home/dev/projects/infra-terraform,main
demo-064-9e8f5bad,2026-01-13,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-065-b1174f4c,2026-02-01,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-066-48dadfab,2026-05-22,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-067-2a53fc32,2026-02-10,ml-experiments,/home/dev/projects/ml-experiments,main
demo-068-8f78e097,2026-03-01,infra-terraform,/home/dev/projects/infra-terraform,main
demo-069-9f65b230,2026-01-17,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-070-e2fb3299,2025-12-18,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-071-f56a0338,2026-05-21,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-072-fe57191e,2026-05-02,ml-experiments,/home/dev/projects/ml-experiments,main
demo-073-5c9d18a6,2026-03-29,infra-terraform,/home/dev/projects/infra-terraform,main
demo-074-21a62751,2026-04-22,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
demo-075-125ca850,2026-04-02,webapp-frontend,/home/dev/projects/webapp-frontend,main
demo-076-61e5e38e,2026-06-03,data-pipeline,/home/dev/projects/data-pipeline,develop
demo-077-10383537,2026-03-12,ml-experiments,/home/dev/projects/ml-experiments,main
demo-078-26379ada,2026-04-19,infra-terraform,/home/dev/projects/infra-terraform,main
demo-079-9675b6d9,2026-03-09,mobile-app,/home/dev/projects/mobile-app,feature/onboarding
