session_id,prompt_id,model,token_type,is_sidechain,token_count
demo-000-450c5bbc,demo-000-450c5bbc:_continuation,claude-fable-5,output,0,1119
demo-000-450c5bbc,demo-000-450c5bbc:_continuation,claude-fable-5,cache_read,0,48790
demo-000-450c5bbc,demo-000-450c5bbc:_continuation,claude-fable-5,cache_write_5m,0,24656
demo-000-450c5bbc,demo-000-450c5bbc:p001,claude-opus-4-8,input,0,9033
demo-000-450c5bbc,demo-000-450c5bbc:p001,claude-opus-4-8,output,0,2600
demo-000-450c5bbc,demo-000-450c5bbc:p001,claude-opus-4-8,cache_read,0,127492
demo-000-450c5bbc,demo-000-450c5bbc:p001,claude-opus-4-8,cache_write_5m,0,55139
demo-000-450c5bbc,demo-000-450c5bbc:p001,claude-opus-4-8,cache_write_1h,0,41545
demo-000-450c5bbc,demo-000-450c5bbc:p002,claude-sonnet-4-6,input,0,1494
demo-000-450c5bbc,demo-000-450c5bbc:p002,claude-sonnet-4-6,output,0,2268
demo-000-450c5bbc,demo-000-450c5bbc:p002,claude-sonnet-4-6,cache_read,0,398043
demo-000-450c5bbc,demo-000-450c5bbc:p002,claude-sonnet-4-6,cache_write_5m,0,13481
demo-000-450c5bbc,demo-000-450c5bbc:p002,claude-sonnet-4-6,cache_write_1h,0,7978
demo-000-450c5bbc,demo-000-450c5bbc:p003,claude-sonnet-4-6,input,0,663
demo-000-450c5bbc,demo-000-450c5bbc:p003,claude-sonnet-4-6,output,0,2285
demo-000-450c5bbc,demo-000-450c5bbc:p003,claude-sonnet-4-6,cache_read,0,349415
demo-000-450c5bbc,demo-000-450c5bbc:p003,claude-sonnet-4-6,cache_write_5m,0,10391
demo-000-450c5bbc,demo-000-450c5bbc:p003,claude-sonnet-4-6,cache_write_1h,0,4088
demo-000-450c5bbc,demo-000-450c5bbc:p004,claude-haiku-4-5,input,0,565
demo-000-450c5bbc,demo-000-450c5bbc:p004,claude-haiku-4-5,output,0,2931
demo-000-450c5bbc,demo-000-450c5bbc:p004,claude-haiku-4-5,cache_read,0,744855
demo-000-450c5bbc,demo-000-450c5bbc:p004,claude-haiku-4-5,cache_write_5m,0,9651
demo-000-450c5bbc,demo-000-450c5bbc:p004,claude-haiku-4-5,cache_write_1h,0,2348
demo-000-450c5bbc,demo-000-450c5bbc:p005,claude-sonnet-4-6,input,0,991
demo-000-450c5bbc,demo-000-450c5bbc:p005,claude-sonnet-4-6,output,0,3679
demo-000-450c5bbc,demo-000-450c5bbc:p005,claude-sonnet-4-6,cache_read,0,404074
demo-000-450c5bbc,demo-000-450c5bbc:p005,claude-sonnet-4-6,cache_write_5m,0,21705
demo-000-450c5bbc,demo-000-450c5bbc:p005,claude-sonnet-4-6,cache_write_1h,0,2913
demo-000-450c5bbc,demo-000-450c5bbc:p006,claude-opus-4-8,input,0,581
demo-000-450c5bbc,demo-000-450c5bbc:p006,claude-opus-4-8,output,0,1409
demo-000-450c5bbc,demo-000-450c5bbc:p006,claude-opus-4-8,cache_read,0,118638
demo-000-450c5bbc,demo-000-450c5bbc:p006,claude-opus-4-8,cache_write_5m,0,12779
demo-000-450c5bbc,demo-000-450c5bbc:p006,claude-opus-4-8,cache_write_1h,0,4086
